"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","24","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","11","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","11","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","7","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","33","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","75","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","20","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","34","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","18","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","6","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","40","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","110","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","75","1","0.000000","0","0"
"/Game/Unleashed_Boxer/Materials/FX_Materials/M_beam2.M_beam2","0","0","17","1","0.000000","0","34"
"/Game/UnleashedboxerAnimSet/demo/Materials/WorldGridMaterial.WorldGridMaterial","0","0","45","1","0.000000","0","0"
"/Game/UnleashedboxerAnimSet/demo/Materials/M_weapon.M_weapon","0","0","18","1","0.000000","0","0"
"/Game/UnleashedboxerAnimSet/demo/Materials/M_cover.M_cover","0","0","18","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","42","1","0.000000","0","0"
"/Game/Fighter_Animations/Material/M_Wall_2.M_Wall_2","0","0","18","1","0.000000","0","0"
"/Game/Fighter_Animations/Material/M_Wall.M_Wall","0","0","18","1","0.000000","0","0"
"/Game/Character_Appearance_Dissolve/Mesh/M_Mannequin.M_Mannequin","0","0","18","1","0.000000","0","0"
"/Game/Character_Appearance_Dissolve/DemoRoom/Meshes/Fbx_Default_Material.Fbx_Default_Material","0","0","18","1","0.000000","0","0"
"/Game/Character_Appearance_Dissolve/DemoRoom/Materials/M_DemoWall.M_DemoWall","0","0","98","1","0.000000","0","0"
"/Game/CharacterBodyFX/Materials/M_Invisible.M_Invisible","0","0","89","1","0.000000","0","0"
"/Game/CharacterBodyFX/Materials/M_Floor.M_Floor","0","0","18","1","0.000000","0","0"
"/Game/CharacterBodyFX/Materials/M_Diamond.M_Diamond","0","0","59","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/M_Floor.M_Floor","0","0","30","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_3.MaterialInstanceDynamic_3","0","0","42","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_2.MaterialInstanceDynamic_2","0","0","42","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_1.MaterialInstanceDynamic_1","0","0","42","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_0.MaterialInstanceDynamic_0","0","0","42","1","0.000000","0","0"
"/Game/Assets/MuzzleFlash_VFX_Vol_2/Map/MM_Ground.MM_Ground","0","0","18","1","0.000000","0","0"
"/Game/Assets/Sty_Explosions_VFX/MAP/MAP_Materials/M_Color.M_Color","0","0","45","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","7","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","88","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","44","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","0","34","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","54","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","54","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","54","1","0.000000","0","0"
